compte_id,client_id,agence_id,numero_compte,rib,type_compte,devise,solde,solde_disponible,solde_moyen_30j,solde_moyen_90j,decouvert_autorise,taux_interet,frais_tenue_compte,date_ouverture,date_fermeture,statut_compte,plafond_retrait_jour,plafond_paiement_jour,nombre_cotitulaires,carte_associee,chequier,date_derniere_operation,nombre_transactions_30j,volume_transactions_30j,niveau_risque,indicateur_fraude,date_creation,date_derniere_maj
CPT-000021,CLI-000013,AG-CAS-05,7342187949,230985000000000116629961,Compte courant,MAD,232.09,232.09,232.09,232.09,32.51,0.0,32.68,2022-01-20,,Actif,20000,50000,2,False,True,,0,0,Faible,False,2026-09-11 14:41:42.519802,2026-09-11 14:41:42.519802
CPT-000022,CLI-000014,AG-AGA-02,7565905805,230584000000000117421846,Compte courant,MAD,1460.82,1460.82,1460.82,1460.82,360.96,0.0,44.83,2023-12-02,,Actif,5000,50000,2,True,True,,0,0,Faible,False,2026-09-11 14:41:42.520797,2026-09-11 14:41:42.520797
CPT-000023,CLI-000014,AG-AGA-02,1686490457,230584000000000118213745,Compte courant,MAD,26462.55,26462.55,26462.55,26462.55,6461.4,0.0,18.08,2021-01-07,,Actif,10000,10000,0,False,True,,0,0,Élevé,False,2026-09-11 14:41:42.521804,2026-09-11 14:41:42.521804
CPT-000024,CLI-000015,AG-MEK-01,1422131286,230742000000000119005640,Compte professionnel,MAD,35719.61,35719.61,35719.61,35719.61,3660.92,0.0,29.59,2018-12-29,,Actif,10000,50000,1,True,True,,0,0,Élevé,False,2026-09-11 14:41:42.521804,2026-09-11 14:41:42.521804
CPT-000025,CLI-000015,AG-MEK-01,1294599759,230742000000000119797557,Compte entreprise,MAD,44967.2,44967.2,44967.2,44967.2,9082.39,0.0,37.0,2024-05-01,,Actif,5000,10000,2,True,True,,0,0,Faible,False,2026-09-11 14:41:42.521804,2026-09-11 14:41:42.521804
CPT-000026,CLI-000016,AG-CAS-03,7524309731,230985000000000120589456,Compte courant,MAD,671.36,671.36,671.36,671.36,108.12,0.0,36.35,2019-01-21,,Actif,20000,10000,1,True,False,,0,0,Élevé,False,2026-09-11 14:41:42.521804,2026-09-11 14:41:42.521804
CPT-000027,CLI-000016,AG-CAS-03,5716276373,230985000000000121381346,Compte courant,MAD,8764.47,8764.47,8764.47,8764.47,2237.23,0.0,45.23,2021-01-06,,Actif,20000,20000,1,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.522804,2026-09-11 14:41:42.522804
CPT-000028,CLI-000017,AG-TAN-02,1073260676,230609000000000122173238,Compte jeune,MAD,10976.33,10976.33,10976.33,10976.33,2565.42,0.0,38.13,2020-02-24,,Actif,20000,10000,2,False,True,,0,0,Faible,False,2026-09-11 14:41:42.522804,2026-09-11 14:41:42.522804
CPT-000029,CLI-000017,AG-TAN-02,9777677922,230609000000000122965146,Compte épargne,MAD,5547.96,5547.96,5547.96,5547.96,859.93,0.0119,14.98,2023-09-19,,Actif,20000,10000,2,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.522804,2026-09-11 14:41:42.522804
CPT-000030,CLI-000018,AG-MEK-01,2105716359,230742000000000123757043,Compte jeune,MAD,4471.48,4471.48,4471.48,4471.48,693.77,0.0,18.97,2018-04-09,,Actif,5000,20000,2,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.522804,2026-09-11 14:41:42.522804
CPT-000031,CLI-000019,AG-SAL-01,1957625387,230521000000000124548946,Compte épargne,MAD,6235.5,6235.5,6235.5,6235.5,1420.59,0.02,46.87,2017-05-04,,Actif,20000,10000,0,False,True,,0,0,Faible,False,2026-09-11 14:41:42.523803,2026-09-11 14:41:42.523803
CPT-000032,CLI-000019,AG-SAL-01,8253688093,230521000000000125340836,Compte épargne,MAD,68737.87,68737.87,68737.87,68737.87,7518.23,0.0226,34.65,2017-02-11,,Actif,20000,20000,1,False,True,,0,0,Faible,False,2026-09-11 14:41:42.523803,2026-09-11 14:41:42.523803
CPT-000033,CLI-000020,AG-CAS-06,9627264579,230985000000000126132749,Compte entreprise,MAD,27494.87,27494.87,27494.87,27494.87,7990.38,0.0,12.14,2026-04-24,,Actif,5000,10000,2,True,True,,0,0,Faible,False,2026-09-11 14:41:42.524800,2026-09-11 14:41:42.524800
CPT-000034,CLI-000021,AG-RAB-01,6916281931,230490000000000126924648,Compte courant,MAD,1807.53,1807.53,1807.53,1807.53,345.98,0.0,21.38,2025-07-20,,Actif,20000,50000,0,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.526957,2026-09-11 14:41:42.526957
CPT-000035,CLI-000022,AG-MAR-01,3989784193,230910000000000127716544,Compte professionnel,MAD,73174.18,73174.18,73174.18,73174.18,15733.03,0.0,45.55,2019-05-29,,Actif,10000,10000,2,True,True,,0,0,Faible,False,2026-09-11 14:41:42.527800,2026-09-11 14:41:42.527800
CPT-000036,CLI-000023,AG-KÉN-01,7785907211,230850000000000128508446,Compte courant,MAD,503.12,503.12,503.12,503.12,143.29,0.0,11.08,2021-02-18,,Actif,5000,50000,0,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.527800,2026-09-11 14:41:42.527800
CPT-000037,CLI-000024,AG-NAD-01,7803012094,230500000000000129300328,Compte courant,MAD,15699.35,15699.35,15699.35,15699.35,4431.76,0.0,39.41,2022-03-12,,Actif,10000,10000,1,False,False,,0,0,Faible,False,2026-09-11 14:41:42.528799,2026-09-11 14:41:42.528799
CPT-000038,CLI-000025,AG-SET-01,8878567859,230629000000000130092239,Compte épargne,MAD,5311.75,5311.75,5311.75,5311.75,1342.33,0.0158,49.67,2017-08-28,,Actif,20000,10000,1,False,False,,0,0,Faible,False,2026-09-11 14:41:42.528799,2026-09-11 14:41:42.528799
CPT-000039,CLI-000026,AG-RAB-01,9337905379,230490000000000130884143,Compte courant,MAD,4551.14,4551.14,4551.14,4551.14,989.24,0.0,42.53,2025-07-25,,Actif,10000,10000,1,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.529799,2026-09-11 14:41:42.529799
CPT-000040,CLI-000027,AG-RAB-01,7377986420,230490000000000131676042,Compte courant,MAD,622.39,622.39,622.39,622.39,161.94,0.0,30.67,2018-09-03,,Actif,10000,50000,1,True,False,,0,0,Faible,False,2026-09-11 14:41:42.529799,2026-09-11 14:41:42.529799
CPT-000041,CLI-000028,AG-SAL-01,6986770846,230521000000000132467945,Compte courant,MAD,4444.86,4444.86,4444.86,4444.86,899.3,0.0,25.16,2021-03-09,,Actif,5000,50000,2,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.529799,2026-09-11 14:41:42.529799
CPT-000042,CLI-000028,AG-SAL-01,2261629372,230521000000000133259844,Compte épargne,MAD,53598.97,53598.97,53598.97,53598.97,7913.68,0.0116,13.06,2024-01-07,,Actif,20000,10000,0,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.530798,2026-09-11 14:41:42.530798
CPT-000043,CLI-000029,AG-CAS-05,6216905714,230985000000000134051748,Compte courant,MAD,467.3,467.3,467.3,467.3,67.18,0.0,29.4,2021-09-30,,Actif,5000,50000,1,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.530798,2026-09-11 14:41:42.530798
CPT-000044,CLI-000030,AG-RAB-01,9570753823,230490000000000134843647,Compte épargne,MAD,19167.3,19167.3,19167.3,19167.3,2542.46,0.0123,48.83,2024-03-18,,Actif,5000,50000,0,True,False,,0,0,Faible,False,2026-09-11 14:41:42.531800,2026-09-11 14:41:42.531800
CPT-000045,CLI-000030,AG-RAB-01,3039279525,230490000000000135635546,Compte professionnel,MAD,21977.03,21977.03,21977.03,21977.03,3015.42,0.0,17.22,2017-05-24,,Actif,10000,10000,0,False,False,,0,0,Faible,False,2026-09-11 14:41:42.531800,2026-09-11 14:41:42.531800
CPT-000046,CLI-000031,AG-EL -01,3898201241,230782000000000136427449,Compte épargne,MAD,45822.76,45822.76,45822.76,45822.76,7748.97,0.0265,44.24,2019-04-05,,Actif,5000,10000,0,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.532800,2026-09-11 14:41:42.532800
CPT-000047,CLI-000032,AG-MEK-01,1684186504,230742000000000137219344,Compte entreprise,MAD,13009.05,13009.05,13009.05,13009.05,3788.35,0.0,49.69,2020-01-24,,Actif,20000,20000,0,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.532800,2026-09-11 14:41:42.532800
CPT-000048,CLI-000033,AG-KHO-01,4374031460,230924000000000138011236,Compte épargne,MAD,19221.22,19221.22,19221.22,19221.22,5492.85,0.0279,48.77,2023-10-23,,Actif,5000,10000,0,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.533804,2026-09-11 14:41:42.533804
CPT-000049,CLI-000034,AG-CAS-03,3869093705,230985000000000138803151,Compte courant,MAD,5209.54,5209.54,5209.54,5209.54,1278.69,0.0,31.11,2016-10-17,,Actif,5000,50000,0,False,True,,0,0,Élevé,False,2026-09-11 14:41:42.533804,2026-09-11 14:41:42.533804
CPT-000050,CLI-000034,AG-CAS-03,6304921305,230985000000000139595059,Compte courant,MAD,18050.7,18050.7,18050.7,18050.7,2238.67,0.0,15.4,2024-03-04,,Actif,20000,10000,0,False,False,,0,0,Faible,False,2026-09-11 14:41:42.534802,2026-09-11 14:41:42.534802
CPT-000051,CLI-000035,AG-KHO-01,6665746610,230924000000000140386951,Compte courant,MAD,12809.93,12809.93,12809.93,12809.93,3633.5,0.0,17.52,2021-09-20,,Actif,10000,10000,0,False,False,,0,0,Élevé,False,2026-09-11 14:41:42.534802,2026-09-11 14:41:42.534802
CPT-000052,CLI-000036,AG-SAF-01,5349003711,230387000000000141178853,Compte courant,MAD,3702.47,3702.47,3702.47,3702.47,811.43,0.0,12.02,2018-08-09,,Actif,20000,50000,0,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.535802,2026-09-11 14:41:42.535802
CPT-000053,CLI-000037,AG-SAL-01,9694813735,230521000000000141970742,Compte courant,MAD,4038.49,4038.49,4038.49,4038.49,1029.96,0.0,35.81,2025-01-23,,Actif,20000,50000,1,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.535802,2026-09-11 14:41:42.535802
CPT-000054,CLI-000038,AG-SAL-01,3782891338,230521000000000142762641,Compte courant,MAD,10994.49,10994.49,10994.49,10994.49,1393.61,0.0,10.15,2017-09-13,,Actif,20000,50000,2,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.536800,2026-09-11 14:41:42.536800
CPT-000055,CLI-000039,AG-FÈS-02,4164271954,230417000000000143554544,Compte épargne,MAD,3770.57,3770.57,3770.57,3770.57,756.17,0.0268,46.91,2023-12-21,,Actif,5000,10000,0,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.536800,2026-09-11 14:41:42.536800
CPT-000056,CLI-000040,AG-CAS-02,7820628948,230985000000000144346453,Compte courant,MAD,4147.37,4147.37,4147.37,4147.37,862.4,0.0,47.38,2016-11-28,,Actif,5000,10000,0,True,False,,0,0,Faible,False,2026-09-11 14:41:42.537804,2026-09-11 14:41:42.537804
CPT-000057,CLI-000041,AG-OUJ-01,6064454108,230499000000000145138352,Compte épargne,MAD,7682.66,7682.66,7682.66,7682.66,1541.33,0.0263,40.61,2019-07-17,,Actif,10000,20000,2,False,True,,0,0,Faible,False,2026-09-11 14:41:42.537804,2026-09-11 14:41:42.537804
CPT-000058,CLI-000042,AG-OUJ-01,5626078605,230499000000000145930251,Compte professionnel,MAD,9428.23,9428.23,9428.23,9428.23,2018.66,0.0,15.73,2019-08-23,,Actif,20000,10000,0,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.538798,2026-09-11 14:41:42.538798
CPT-000059,CLI-000043,AG-EL -01,7125604193,230782000000000146722145,Compte courant,MAD,5495.47,5495.47,5495.47,5495.47,941.75,0.0,24.33,2022-11-13,,Actif,5000,10000,2,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.538798,2026-09-11 14:41:42.538798
CPT-000060,CLI-000044,AG-CAS-03,7299731371,230985000000000147514049,Compte épargne,MAD,26253.69,26253.69,26253.69,26253.69,7736.87,0.025,25.59,2019-08-01,,Actif,5000,50000,0,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.538798,2026-09-11 14:41:42.538798
CPT-000061,CLI-000045,AG-NAD-01,2580084991,230500000000000148305940,Compte courant,MAD,2504.23,2504.23,2504.23,2504.23,672.94,0.0,10.98,2022-05-27,,Actif,5000,10000,0,False,False,,0,0,Élevé,False,2026-09-11 14:41:42.539798,2026-09-11 14:41:42.539798
CPT-000062,CLI-000046,AG-KHO-01,9529088019,230924000000000149097858,Compte courant,MAD,8692.73,8692.73,8692.73,8692.73,2366.06,0.0,49.75,2022-03-10,,Actif,5000,50000,1,False,True,,0,0,Élevé,False,2026-09-11 14:41:42.540814,2026-09-11 14:41:42.540814
CPT-000063,CLI-000047,AG-OUJ-01,9202431746,230499000000000149889773,Compte courant,MAD,8261.67,8261.67,8261.67,8261.67,1271.44,0.0,30.12,2020-02-18,,Actif,10000,10000,0,True,True,,0,0,Faible,False,2026-09-11 14:41:42.541801,2026-09-11 14:41:42.541801
CPT-000064,CLI-000048,AG-BÉN-01,2748256598,230145000000000150681642,Compte épargne,MAD,24355.42,24355.42,24355.42,24355.42,2814.45,0.0132,49.29,2018-01-21,,Actif,10000,10000,1,True,True,,0,0,Faible,False,2026-09-11 14:41:42.541801,2026-09-11 14:41:42.541801
CPT-000065,CLI-000049,AG-AGA-01,4738733846,230584000000000151473548,Compte épargne,MAD,24941.02,24941.02,24941.02,24941.02,5094.43,0.0106,48.2,2019-11-23,,Actif,20000,10000,0,True,False,,0,0,Faible,False,2026-09-11 14:41:42.541801,2026-09-11 14:41:42.541801
CPT-000066,CLI-000050,AG-MAR-02,5454127843,230910000000000152265440,Compte courant,MAD,19416.1,19416.1,19416.1,19416.1,2037.25,0.0,41.29,2021-01-09,,Actif,20000,20000,2,True,False,,0,0,Faible,False,2026-09-11 14:41:42.542798,2026-09-11 14:41:42.542798
CPT-000067,CLI-000051,AG-TAN-02,5980991313,230609000000000153057344,Compte jeune,MAD,7265.34,7265.34,7265.34,7265.34,947.99,0.0,21.25,2018-04-12,,Actif,10000,20000,2,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.542798,2026-09-11 14:41:42.542798
CPT-000068,CLI-000051,AG-TAN-02,5625129492,230609000000000153849252,Compte courant,MAD,13708.46,13708.46,13708.46,13708.46,1980.98,0.0,34.08,2024-05-07,,Actif,10000,20000,1,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.542798,2026-09-11 14:41:42.542798
CPT-000069,CLI-000052,AG-SET-01,2211769923,230629000000000154641144,Compte épargne,MAD,2017.79,2017.79,2017.79,2017.79,345.04,0.025,43.32,2023-11-10,,Actif,5000,20000,0,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.543798,2026-09-11 14:41:42.543798
CPT-000070,CLI-000053,AG-CAS-01,4629304658,230985000000000155433048,Compte courant,MAD,24786.4,24786.4,24786.4,24786.4,4382.11,0.0,16.69,2019-11-12,,Actif,20000,20000,0,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.543798,2026-09-11 14:41:42.543798
CPT-000071,CLI-000054,AG-OUJ-01,5345938407,230499000000000156224956,Compte courant,MAD,600.43,600.43,600.43,600.43,112.91,0.0,42.19,2019-11-14,,Actif,10000,10000,0,False,True,,0,0,Élevé,False,2026-09-11 14:41:42.543798,2026-09-11 14:41:42.543798
CPT-000072,CLI-000055,AG-MAR-02,7127944848,230910000000000157016843,Compte courant,MAD,42711.25,42711.25,42711.25,42711.25,9374.02,0.0,48.8,2025-12-24,,Actif,5000,20000,1,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.543798,2026-09-11 14:41:42.543798
CPT-000073,CLI-000056,AG-MEK-01,2710082415,230742000000000157808754,Compte professionnel,MAD,19329.13,19329.13,19329.13,19329.13,3797.35,0.0,37.78,2017-03-04,,Actif,5000,20000,0,False,True,,0,0,Faible,False,2026-09-11 14:41:42.544799,2026-09-11 14:41:42.544799
CPT-000074,CLI-000057,AG-KÉN-01,6789518321,230850000000000158600644,Compte courant,MAD,5249.23,5249.23,5249.23,5249.23,573.62,0.0,43.83,2026-06-29,,Actif,5000,50000,2,False,True,,0,0,Faible,False,2026-09-11 14:41:42.544799,2026-09-11 14:41:42.544799
CPT-000075,CLI-000058,AG-MEK-01,8223494545,230742000000000159392552,Compte entreprise,MAD,18415.68,18415.68,18415.68,18415.68,4575.03,0.0,21.2,2022-08-02,,Actif,5000,20000,0,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.544799,2026-09-11 14:41:42.544799
CPT-000076,CLI-000059,AG-FÈS-01,8040845533,230417000000000160184441,Compte entreprise,MAD,328591.25,328591.25,328591.25,328591.25,81578.0,0.0,34.44,2021-10-12,,Actif,5000,50000,2,False,True,,0,0,Élevé,False,2026-09-11 14:41:42.545798,2026-09-11 14:41:42.545798
CPT-000077,CLI-000060,AG-MEK-01,8509110157,230742000000000160976350,Compte courant,MAD,4764.72,4764.72,4764.72,4764.72,706.09,0.0,45.7,2017-11-14,,Actif,20000,50000,0,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.545798,2026-09-11 14:41:42.545798
CPT-000078,CLI-000060,AG-MEK-01,7708035647,230742000000000161768249,Compte courant,MAD,3905.14,3905.14,3905.14,3905.14,595.85,0.0,24.92,2025-01-21,,Actif,20000,20000,2,False,False,,0,0,Faible,False,2026-09-11 14:41:42.545798,2026-09-11 14:41:42.545798
CPT-000079,CLI-000061,AG-TAN-02,5224144732,230609000000000162560141,Compte épargne,MAD,21464.05,21464.05,21464.05,21464.05,3401.83,0.0132,39.25,2022-12-26,,Actif,10000,10000,1,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.545798,2026-09-11 14:41:42.545798
CPT-000080,CLI-000062,AG-FÈS-02,9502107279,230417000000000163352037,Compte courant,MAD,8047.36,8047.36,8047.36,8047.36,1216.47,0.0,45.45,2021-03-20,,Actif,20000,20000,0,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.546795,2026-09-11 14:41:42.546795
CPT-000081,CLI-000063,AG-KHO-01,1998876405,230924000000000164143948,Compte courant,MAD,2496.8,2496.8,2496.8,2496.8,630.67,0.0,40.37,2017-03-25,,Actif,5000,20000,2,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.546795,2026-09-11 14:41:42.546795
CPT-000082,CLI-000063,AG-KHO-01,6418269935,230924000000000164935856,Compte professionnel,MAD,78783.59,78783.59,78783.59,78783.59,16110.27,0.0,14.33,2018-04-30,,Actif,20000,10000,2,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.547866,2026-09-11 14:41:42.547866
CPT-000083,CLI-000064,AG-TÉT-01,5957692284,230868000000000165727762,Compte épargne,MAD,16049.28,16049.28,16049.28,16049.28,3677.55,0.0229,23.45,2023-04-20,,Actif,5000,20000,0,True,True,,0,0,Élevé,False,2026-09-11 14:41:42.547866,2026-09-11 14:41:42.547866
CPT-000084,CLI-000065,AG-NAD-01,2656360295,230500000000000166519644,Compte courant,MAD,917.28,917.28,917.28,917.28,237.9,0.0,22.73,2020-11-24,,Actif,20000,20000,1,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.548801,2026-09-11 14:41:42.548801
CPT-000085,CLI-000066,AG-SAF-01,6350177312,230387000000000167311547,Compte courant,MAD,3964.26,3964.26,3964.26,3964.26,540.04,0.0,13.05,2024-05-01,,Actif,20000,50000,0,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.549803,2026-09-11 14:41:42.549803
CPT-000086,CLI-000067,AG-EL -01,5145231834,230782000000000168103445,Compte courant,MAD,26653.96,26653.96,26653.96,26653.96,4123.87,0.0,34.87,2017-04-22,,Actif,10000,10000,0,False,True,,0,0,Élevé,False,2026-09-11 14:41:42.549803,2026-09-11 14:41:42.549803
CPT-000087,CLI-000067,AG-EL -01,7130502172,230782000000000168895362,Compte professionnel,MAD,145584.38,145584.38,145584.38,145584.38,16228.08,0.0,23.12,2022-08-31,,Actif,5000,20000,0,True,True,,0,0,Élevé,False,2026-09-11 14:41:42.549803,2026-09-11 14:41:42.549803
CPT-000088,CLI-000068,AG-FÈS-01,7835089112,230417000000000169687256,Compte courant,MAD,1932.68,1932.68,1932.68,1932.68,492.12,0.0,11.59,2026-01-14,,Actif,5000,20000,0,True,True,,0,0,Faible,False,2026-09-11 14:41:42.550802,2026-09-11 14:41:42.550802
CPT-000089,CLI-000068,AG-FÈS-01,3081076755,230417000000000170479146,Compte courant,MAD,8519.63,8519.63,8519.63,8519.63,2470.02,0.0,34.76,2021-04-03,,Actif,5000,50000,1,False,False,,0,0,Élevé,False,2026-09-11 14:41:42.550802,2026-09-11 14:41:42.550802
CPT-000090,CLI-000069,AG-AGA-01,6300539676,230584000000000171271041,Compte courant,MAD,12416.77,12416.77,12416.77,12416.77,2397.08,0.0,18.65,2026-02-15,,Actif,20000,10000,1,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.550802,2026-09-11 14:41:42.550802
CPT-000091,CLI-000070,AG-MAR-02,1203192551,230910000000000172062942,Compte courant,MAD,38606.55,38606.55,38606.55,38606.55,7646.71,0.0,11.73,2019-06-30,,Actif,10000,50000,2,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.550802,2026-09-11 14:41:42.550802
